,matrix,Tcsr,Topt,OptimumFormat,speedup,experiment,matrix_id
2319,airfoil1_dual,0.000293192,0.000109303,0,2.6823783427719277,a64fx-square_set-serial-1000,933
1825,as-22july06,0.000211343,7.88284e-05,0,2.68105149920587,a64fx-square_set-openmp-1000,132
2320,kmer_U1a,5.00141,1.86586,0,2.6804851382204453,a64fx-square_set-serial-1000,509
2321,netz4504,7.12578e-05,2.66023e-05,0,2.6786330505257063,a64fx-square_set-serial-1000,581
3840,hangGlider_3,0.000388927,0.000145464,0,2.673699334543255,instinct-square_set-hip-1000,168
1383,TSOPF_FS_b300_c1,0.00299572,0.00112367,0,2.666014043268931,xci-square_set-openmp-1000,266
2322,3elt_dual,0.000328938,0.000123596,0,2.661396808958219,a64fx-square_set-serial-1000,934
1384,blockqp1,0.000708431,0.000266402,0,2.659255561144436,xci-square_set-openmp-1000,38
3841,Cube_Coup_dt0,0.00564872,0.00212548,4,2.6576208668159667,instinct-square_set-hip-1000,88
308,preferentialAttachment,0.000419521,0.000157884,0,2.657147019330648,cirrus-square_set-openmp-1000,277
309,fp,0.000326379,0.000122838,0,2.6569872515019783,cirrus-square_set-openmp-1000,278
3842,Cube_Coup_dt6,0.00564497,0.00212547,4,2.65586905484434,instinct-square_set-hip-1000,90
1826,rajat30,0.00632584,0.0023863,0,2.65089888111302,a64fx-square_set-openmp-1000,11
1827,rajat29,0.00542787,0.00204937,0,2.648555409711277,a64fx-square_set-openmp-1000,5
820,brainpc2,0.000117433,4.43967e-05,0,2.645083981467091,archer2-square_set-openmp-1000,54
821,fp,0.000933787,0.000353628,0,2.6405912427748937,archer2-square_set-openmp-1000,278
310,email-Enron,0.000178944,6.78257e-05,0,2.638291974870882,cirrus-square_set-openmp-1000,279
2323,big_dual,0.00111236,0.000421947,0,2.636255264286747,a64fx-square_set-serial-1000,247
1385,TSOPF_FS_b300,0.00297224,0.00112794,0,2.63510470415093,xci-square_set-openmp-1000,265
311,gupta1,0.00072514,0.000275953,0,2.6277663225259373,cirrus-square_set-openmp-1000,280
2324,t60k,0.00220168,0.000838544,0,2.625598656719266,a64fx-square_set-serial-1000,873
3843,Flan_1565,0.00479523,0.00182882,3,2.6220349733708073,instinct-square_set-hip-1000,197
2325,belgium_osm,0.0692407,0.0264386,0,2.6189246026642863,a64fx-square_set-serial-1000,731
3844,s4dkt3m2,0.000197253,7.53339e-05,5,2.618382959066237,instinct-square_set-hip-1000,175
1386,sx-stackoverflow,0.0486444,0.0185788,0,2.618274592546343,xci-square_set-openmp-1000,77
2326,cca,0.00188657,0.00072333,0,2.608173309554422,a64fx-square_set-serial-1000,912
3845,s3dkt3m2,0.00019825,7.60417e-05,5,2.6071221448231694,instinct-square_set-hip-1000,916
2327,poli,0.000156409,6.00257e-05,0,2.6057005582608785,a64fx-square_set-serial-1000,556
1828,web-NotreDame,0.00151469,0.000582122,0,2.602014697949914,a64fx-square_set-openmp-1000,75
2328,se,0.00122614,0.000471638,0,2.59974811189938,a64fx-square_set-serial-1000,935
